"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";1;1;1
"Proportion of isolates";0,0526315789473684;0,0526315789473684;0,0526315789473684
"Number of links";147;100;47
"Proportion of links";1;0,680272108843537;0,319727891156463
"Density";0,96078431372549;0,65359477124183;0,30718954248366
"Global transitivity";0,964664310954064;0,898409893992933;0
"Average local transitivity";0,966425459072518;0,844464794464794;0
"Number of components";1;1;1
"Giant component size";18;18;18
"Giant component proportion";1;1;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";16,3333333333333;11,1111111111111;5,22222222222222
"Degree stdev";1,08465228909328;3,77123616632825;3,71887958389044
"Minimal degree";13;4;1
"Maximal degree";17;15;13
"Degree correlation";-0,158249477881138;0,461573993879555;-0,957238680827279
"Average strength";6,27327816184885;7,77459875244963;-1,50132059060078
"Strength stdev";4,94473826584212;3,90362882209357;1,39568478035671
"Minimal strength";-4,87543509122457;0,876691729323308;-6,17053998632946
"Maximal strength";9,96426731163573;10,9551764025448;-0,0909090909090909
"Strength correlation";-0,0569796702958599;0,492970181069138;-0,469329850906468
