"";"Original";"Positive";"Negative"
"Number of nodes";21;21;21
"Number of isolates";0;0;0
"Proportion of isolates";0;0;0
"Number of links";200;146;54
"Proportion of links";1;0,73;0,27
"Density";0,952380952380952;0,695238095238095;0,257142857142857
"Global transitivity";0,958677685950413;0,908360888049126;0,0479452054794521
"Average local transitivity";0,961027802934039;0,915354020396037;0,0851307189542484
"Number of components";1;1;1
"Giant component size";21;21;21
"Giant component proportion";1;1;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";19,047619047619;13,9047619047619;5,14285714285714
"Degree stdev";1,4309504001254;4,82602074078388;4,62910049886276
"Minimal degree";15;3;2
"Maximal degree";20;17;17
"Degree correlation";-0,152838427947556;0,280767626199416;-0,840502354788069
"Average strength";6,96845501542002;8,20095066573748;-1,23249565031746
"Strength stdev";4,69072345284791;3,72181041299389;1,20216630681427
"Minimal strength";-4,08109321606223;0,740165224232887;-4,82125844029512
"Maximal strength";11,0043649376895;11,6572907475118;-0,372176917880375
"Strength correlation";-0,0482690910010506;0,273628774668449;-0,771954086534828
