"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";0;0;3
"Proportion of isolates";0;0;0,157894736842105
"Number of links";163;123;40
"Proportion of links";1;0,754601226993865;0,245398773006135
"Density";0,953216374269006;0,719298245614035;0,333333333333333
"Global transitivity";0,956916099773243;0,850915982312066;0
"Average local transitivity";0,958493613369774;0,881206487011441;0
"Number of components";1;1;1
"Giant component size";19;19;16
"Giant component proportion";1;1;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";17,1578947368421;12,9473684210526;5
"Degree stdev";1,16729306492209;3,55080091451252;3,14112506383727
"Minimal degree";14;6;2
"Maximal degree";18;18;12
"Degree correlation";-0,141257703352355;-0,0443229241617475;-0,911084288875477
"Average strength";6,37059919585228;7,04345817607695;-0,799020039016795
"Strength stdev";3,57209595650555;3,2104851605524;0,652102665684468
"Minimal strength";-0,842001006347898;1,6150279113481;-2,69701567457485
"Maximal strength";9,47161900796884;10,103120978812;-0,146286719816132
"Strength correlation";-0,0378684122436124;0,416631137745376;-0,450910069877803
