"";"Original";"Positive";"Negative"
"Number of nodes";21;21;21
"Number of isolates";0;0;2
"Proportion of isolates";0;0;0,0952380952380952
"Number of links";198;166;32
"Proportion of links";1;0,838383838383838;0,161616161616162
"Density";0,942857142857143;0,790476190476191;0,187134502923977
"Global transitivity";0,949409780775717;0,823785065191624;0
"Average local transitivity";0,952195264070541;0,829702806571449;0
"Number of components";1;1;1
"Giant component size";21;21;19
"Giant component proportion";1;1;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";18,8571428571429;15,8095238095238;3,36842105263158
"Degree stdev";1,49284005458436;2,69479215560398;2,24129244251291
"Minimal degree";15;10;1
"Maximal degree";20;19;8
"Degree correlation";-0,155407018381467;-0,0944217160882541;-0,590822179732314
"Average strength";5,91185308759424;6,43553579138577;-0,578807198927485
"Strength stdev";2,80889556727451;2,55637634454774;0,603119548564759
"Minimal strength";-0,397115220845787;1,66858166750467;-2,06569688835046
"Maximal strength";9,24905131127237;9,85374943746269;-0,0324675324675325
"Strength correlation";-0,0434222672815078;0,108714319300337;-0,0975437170074663
