"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";0;0;10
"Proportion of isolates";0;0;0,526315789473684
"Number of links";161;154;7
"Proportion of links";1;0,956521739130435;0,0434782608695652
"Density";0,941520467836257;0,900584795321637;0,194444444444444
"Global transitivity";0,9465737514518;0,912658227848101;0
"Average local transitivity";0,949265603677368;0,917470996495765;0
"Number of components";1;1;2
"Giant component size";19;19;6
"Giant component proportion";1;1;0,666666666666667
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";16,9473684210526;16,2105263157895;1,55555555555556
"Degree stdev";1,31122013621437;1,75052206080932;1,33333333333333
"Minimal degree";14;13;1
"Maximal degree";18;18;5
"Degree correlation";-0,16062544420755;-0,145617991605585;-0,728915662650602
"Average strength";8,93527532376039;9,16786791635298;-0,491028806584362
"Strength stdev";2,07965972398491;2,11309281510917;0,696687778486151
"Minimal strength";4,4378283329134;6,24509803921569;-2
"Maximal strength";13;14;-0,037037037037037
"Strength correlation";0,021949666453321;0,086738500179404;0,668916185186916
