"";"Original";"Positive";"Negative"
"Number of nodes";17;17;17
"Number of isolates";0;0;5
"Proportion of isolates";0;0;0,294117647058824
"Number of links";135;118;17
"Proportion of links";1;0,874074074074074;0,125925925925926
"Density";0,992647058823529;0,867647058823529;0,257575757575758
"Global transitivity";0,992537313432836;0,934301958307012;0
"Average local transitivity";0,99264705882353;0,942483660130719;0
"Number of components";1;1;1
"Giant component size";17;17;12
"Giant component proportion";1;1;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";15,8823529411765;13,8823529411765;2,83333333333333
"Degree stdev";0,332105582077536;2,80362160742976;2,7579087378049
"Minimal degree";15;5;1
"Maximal degree";16;16;10
"Degree correlation";-0,125000000000108;-0,100181603729425;-0,928477862195441
"Average strength";7,92891094976542;8,18628639150965;-0,364615209137663
"Strength stdev";3,02448372518035;2,7625264051458;0,368874698535535
"Minimal strength";1,00688077119759;2,11320651794346;-1,10632574674587
"Maximal strength";11,3642633836751;11,387005966733;-0,0425531914893617
"Strength correlation";-0,0526800715784167;0,111618987283946;-0,942274328284026
