"";"Original";"Positive";"Negative"
"Number of nodes";21;21;21
"Number of isolates";0;0;2
"Proportion of isolates";0;0;0,0952380952380952
"Number of links";202;144;58
"Proportion of links";1;0,712871287128713;0,287128712871287
"Density";0,961904761904762;0,685714285714286;0,339181286549708
"Global transitivity";0,967585089141005;0,863842662632375;0
"Average local transitivity";0,969924812030075;0,87220641170221;0
"Number of components";1;1;1
"Giant component size";21;21;19
"Giant component proportion";1;1;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";19,2380952380952;13,7142857142857;6,10526315789474
"Degree stdev";1,33808676492827;3,9005494118503;3,81364125857727
"Minimal degree";16;4;3
"Maximal degree";20;17;14
"Degree correlation";-0,167180277349738;0,32970669059503;-0,847439823650378
"Average strength";7,77940640218832;8,35403032047058;-0,635110646522501
"Strength stdev";4,08046800765154;3,70502627630391;0,514054602117514
"Minimal strength";-0,0680810835117173;1,59726444019207;-1,97531850244294
"Maximal strength";11,7913793233822;11,9765191340912;-0,166275292933956
"Strength correlation";-0,0490062681920803;0,4624867772849;-0,526978235248434
