"";"Original";"Positive";"Negative"
"Number of nodes";21;21;21
"Number of isolates";0;0;0
"Proportion of isolates";0;0;0
"Number of links";202;132;70
"Proportion of links";1;0,653465346534653;0,346534653465347
"Density";0,961904761904762;0,628571428571429;0,333333333333333
"Global transitivity";0,967585089141005;0,889727219965177;0,0305602716468591
"Average local transitivity";0,969924812030075;0,901718892685279;0,05
"Number of components";1;1;1
"Giant component size";21;21;21
"Giant component proportion";1;1;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";19,2380952380952;12,5714285714286;6,66666666666667
"Degree stdev";1,33808676492827;4,42234585453726;4,38558243946381
"Minimal degree";16;4;3
"Maximal degree";20;17;16
"Degree correlation";-0,167180277349738;0,496878268513825;-0,840956497430274
"Average strength";5,47699018500911;7,2302307146749;-1,75324052966579
"Strength stdev";4,22931084465257;3,04488536055545;1,3859766699542
"Minimal strength";-2,59026533402964;1,94070849106987;-4,54189886550027
"Maximal strength";10,0015421627175;10,6713605669495;-0,337044011027289
"Strength correlation";-0,049243365609879;0,457950928190565;-0,779536582184972
