"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";0;0;0
"Proportion of isolates";0;0;0
"Number of links";158;129;29
"Proportion of links";1;0,816455696202532;0,183544303797468
"Density";0,923976608187135;0,754385964912281;0,169590643274854
"Global transitivity";0,938775510204082;0,951541850220264;0
"Average local transitivity";0,94655568030181;0,956862745098039;0
"Number of components";1;2;1
"Giant component size";19;17;19
"Giant component proportion";1;0,894736842105263;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";16,6315789473684;13,5789473684211;3,05263157894737
"Degree stdev";1,8015587792486;4,63460161866613;4,14291475775914
"Minimal degree";13;1;1
"Maximal degree";18;16;17
"Degree correlation";-0,205831585854693;0,370266272189351;-0,940325497287523
"Average strength";10,5132832080201;12,5010442773601;-1,98776106934002
"Strength stdev";7,00272642433653;4,5426078938564;2,67260244284248
"Minimal strength";-9,35515873015873;0,714285714285714;-10,0694444444444
"Maximal strength";13,9714285714286;15,2222222222222;-0,111111111111111
"Strength correlation";-0,0337365477904582;0,232219591488402;-0,989915080502715
