"";"Original";"Positive";"Negative"
"Number of nodes";17;17;17
"Number of isolates";0;0;0
"Proportion of isolates";0;0;0
"Number of links";119;63;56
"Proportion of links";1;0,529411764705882;0,470588235294118
"Density";0,875;0,463235294117647;0,411764705882353
"Global transitivity";0,899239543726236;0,789823008849557;0,0681818181818182
"Average local transitivity";0,916609371021135;0,823529411764706;0,0780239368474663
"Number of components";1;1;1
"Giant component size";17;17;17
"Giant component proportion";1;1;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";14;7,41176470588235;6,58823529411765
"Degree stdev";1,96850196850295;2,45099019605882;2,20960470246976
"Minimal degree";12;3;4
"Maximal degree";16;11;11
"Degree correlation";-0,24608567795264;0,321716501683845;-0,643129770992366
"Average strength";1,04542483660131;4,51503267973856;-3,46960784313726
"Strength stdev";2,48090473450208;1,12963724427324;1,66944219720113
"Minimal strength";-3,93333333333333;2,33333333333333;-6,26666666666667
"Maximal strength";3,3125;5,67916666666667;-1,39166666666667
"Strength correlation";-0,0338235541110853;-0,238819009082364;-0,504746624312711
