"";"Original";"Positive";"Negative"
"Number of nodes";17;17;17
"Number of isolates";0;0;0
"Proportion of isolates";0;0;0
"Number of links";132;76;56
"Proportion of links";1;0,575757575757576;0,424242424242424
"Density";0,970588235294118;0,558823529411765;0,411764705882353
"Global transitivity";0,97191887675507;0,762057877813505;0,0351906158357771
"Average local transitivity";0,972635207929325;0,792852898735252;0,0920634920634921
"Number of components";1;1;1
"Giant component size";17;17;17
"Giant component proportion";1;1;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";15,5294117647059;8,94117647058824;6,58823529411765
"Degree stdev";0,799816155346303;1,51948133565759;1,87279281854039
"Minimal degree";13;6;3
"Maximal degree";16;12;10
"Degree correlation";-0,134670487106011;0,110711071107115;-0,339584084625555
"Average strength";2,59955317797264;4,78116252327535;-2,18160934530271
"Strength stdev";1,26468932943573;1,41048701376534;1,14643941615684
"Minimal strength";-0,027488545473807;1,75026683087028;-3,4044864664442
"Maximal strength";4,67731092436975;6,03277591973244;-0,289583333333333
"Strength correlation";-0,098829211836141;-0,247948577647248;-0,0227434519455652
