"";"Original";"Positive";"Negative"
"Number of nodes";21;21;21
"Number of isolates";0;0;9
"Proportion of isolates";0;0;0,428571428571429
"Number of links";199;184;15
"Proportion of links";1;0,924623115577889;0,0753768844221105
"Density";0,947619047619048;0,876190476190476;0,227272727272727
"Global transitivity";0,955796497080901;0,910954516335682;0
"Average local transitivity";0,958884606474169;0,924512112128211;0
"Number of components";1;1;1
"Giant component size";21;21;12
"Giant component proportion";1;1;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";18,952380952381;17,5238095238095;2,5
"Degree stdev";1,5644868320376;2,8569047519833;2,3931721056524
"Minimal degree";15;11;1
"Maximal degree";20;20;8
"Degree correlation";-0,16126664178174;-0,195589626740291;-0,975867269984917
"Average strength";9,16940990166525;9,27506126994385;-0,184889894487563
"Strength stdev";3,22465366950191;3,1221603710809;0,182549632061445
"Minimal strength";1,67538427727578;2,26109179493362;-0,585707517657839
"Maximal strength";12,2530761548263;12,2896991696704;-0,0075187969924812
"Strength correlation";-0,0575082958194415;0,00739570809583507;-0,954638583097869
