"";"Original";"Positive";"Negative"
"Number of nodes";17;17;17
"Number of isolates";0;0;1
"Proportion of isolates";0;0;0,0588235294117647
"Number of links";133;101;32
"Proportion of links";1;0,759398496240602;0,240601503759398
"Density";0,977941176470588;0,742647058823529;0,266666666666667
"Global transitivity";0,978995901639344;0,865771812080537;0,181818181818182
"Average local transitivity";0,979761904761905;0,865513999889;0,273340201465201
"Number of components";1;1;1
"Giant component size";17;17;16
"Giant component proportion";1;1;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";15,6470588235294;11,8823529411765;4
"Degree stdev";0,701888209634219;3,40738816656498;3,03315017762062
"Minimal degree";14;1;2
"Maximal degree";16;15;13
"Degree correlation";-0,155912562549349;0,0534333007735162;-0,566254688556847
"Average strength";4,37194298930108;5,00317002430288;-0,670678724689412
"Strength stdev";2,31699046465895;1,66069016960959;0,803304629270607
"Minimal strength";-2,89905780494016;0,619047619047619;-3,51810542398778
"Maximal strength";6,1882816215116;6,40040283363281;-0,107954545454545
"Strength correlation";-0,053913712993844;0,148818880138586;-0,326553602900585
