"";"Original";"Positive";"Negative"
"Number of nodes";21;21;21
"Number of isolates";0;0;7
"Proportion of isolates";0;0;0,333333333333333
"Number of links";200;170;30
"Proportion of links";1;0,85;0,15
"Density";0,952380952380952;0,80952380952381;0,32967032967033
"Global transitivity";0,961485557083906;0,860014892032762;0
"Average local transitivity";0,964912280701754;0,892053607931538;0
"Number of components";1;1;2
"Giant component size";21;21;12
"Giant component proportion";1;1;0,857142857142857
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";19,047619047619;16,1904761904762;4,28571428571429
"Degree stdev";1,59612626305661;3,21899126465183;2,23360940833687
"Minimal degree";15;12;1
"Maximal degree";20;20;8
"Degree correlation";-0,169800059683663;-0,242267390481003;-0,612819850090461
"Average strength";6,32959354616054;6,59024734403897;-0,390980696817654
"Strength stdev";1,99954838239945;1,91089565706156;0,265281965965469
"Minimal strength";3,3438098444458;3,3438098444458;-0,935309624868274
"Maximal strength";9,01691575629165;9,21808052296862;-0,0509554140127389
"Strength correlation";-0,0547917957995905;0,0359999853574339;-0,330097303539483
