"";"Original";"Positive";"Negative"
"Number of nodes";21;21;21
"Number of isolates";0;0;0
"Proportion of isolates";0;0;0
"Number of links";202;152;50
"Proportion of links";1;0,752475247524752;0,247524752475248
"Density";0,961904761904762;0,723809523809524;0,238095238095238
"Global transitivity";0,967585089141005;0,950585175552666;0
"Average local transitivity";0,969924812030075;0,931450357920946;0
"Number of components";1;1;1
"Giant component size";21;21;21
"Giant component proportion";1;1;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";19,2380952380952;14,4761904761905;4,76190476190476
"Degree stdev";1,33808676492827;5,08546013276132;5,04880938345628
"Minimal degree";16;2;2
"Maximal degree";20;18;18
"Degree correlation";-0,167180277349738;0,526764434328905;-0,970549681713644
"Average strength";8,0949835394041;9,22326918134585;-1,12828564194175
"Strength stdev";4,80838139666323;3,73398887354472;1,27657897868643
"Minimal strength";-4,11335834490707;1,14467754467755;-5,35895221463887
"Maximal strength";11,8086742555665;12,4610111217474;-0,0478750640040962
"Strength correlation";-0,0474375031615535;0,364487728695187;-0,826803966299946
