"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";1;1;1
"Proportion of isolates";0,0526315789473684;0,0526315789473684;0,0526315789473684
"Number of links";147;105;42
"Proportion of links";1;0,714285714285714;0,285714285714286
"Density";0,96078431372549;0,686274509803922;0,274509803921569
"Global transitivity";0,961061946902655;0,754521963824289;0,03125
"Average local transitivity";0,961773085302497;0,767473267473267;0,050140056022409
"Number of components";1;1;1
"Giant component size";18;18;18
"Giant component proportion";1;1;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";16,3333333333333;11,6666666666667;4,66666666666667
"Degree stdev";0,840168050416806;2,19625349442288;2,1143765594837
"Minimal degree";14;8;1
"Maximal degree";17;15;8
"Degree correlation";-0,126646327851805;-0,0179548668757289;-0,290460878885316
"Average strength";4,7207168125601;5,59420856570125;-0,873491753141156
"Strength stdev";1,07048165286054;1,01400017817633;0,90264158914098
"Minimal strength";2,64180074905696;3,26434691344921;-3,64285714285714
"Maximal strength";6,45693549282014;7,37312687312687;-0,118192219679634
"Strength correlation";-0,0592395454223589;-0,0996583780275914;0,0519707180768244
