"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";0;0;2
"Proportion of isolates";0;0;0,105263157894737
"Number of links";164;125;39
"Proportion of links";1;0,76219512195122;0,23780487804878
"Density";0,95906432748538;0,730994152046784;0,286764705882353
"Global transitivity";0,960762331838565;0,821428571428571;0
"Average local transitivity";0,96171433485675;0,850518556091312;0
"Number of components";1;1;1
"Giant component size";19;19;17
"Giant component proportion";1;1;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";17,2631578947368;13,1578947368421;4,58823529411765
"Degree stdev";0,991189255566704;2,91095932821575;2,52633191429323
"Minimal degree";15;6;1
"Maximal degree";18;18;9
"Degree correlation";-0,127932489451426;-0,0733746041708297;-0,568325679533326
"Average strength";5,03444366039392;5,92158140639469;-0,991506892589098
"Strength stdev";2,21045793359075;1,97425475149262;0,682571180184043
"Minimal strength";-0,276552287581701;1,77450980392157;-2,05106209150327
"Maximal strength";7,70179487179487;7,79284750337382;-0,0555555555555556
"Strength correlation";-0,0770603571243067;0,0612265751098803;-0,257664020927171
