"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";0;0;1
"Proportion of isolates";0;0;0,0526315789473684
"Number of links";157;91;66
"Proportion of links";1;0,579617834394904;0,420382165605096
"Density";0,91812865497076;0,532163742690059;0,431372549019608
"Global transitivity";0,930194805194805;0,777777777777778;0,0130434782608696
"Average local transitivity";0,934499392935925;0,822177237966712;0,0463585434173669
"Number of components";1;1;1
"Giant component size";19;19;18
"Giant component proportion";1;1;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";16,5263157894737;9,57894736842105;7,33333333333333
"Degree stdev";1,71167302993402;1,80480191198937;2,22287572090485
"Minimal degree";12;6;1
"Maximal degree";18;13;10
"Degree correlation";-0,152219656145756;0,171342235289314;-0,518920115069707
"Average strength";3,7931931072024;5,82985092822554;-2,14980547774665
"Strength stdev";2,06255634733107;1,82967176237906;0,965905068509422
"Minimal strength";-1,71670168067227;0,897794117647059;-3,71428571428571
"Maximal strength";6,83333333333333;7,22380952380952;-0,166666666666667
"Strength correlation";-0,000950997187722828;0,0960536336334372;-0,194263754679307
