"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";0;0;0
"Proportion of isolates";0;0;0
"Number of links";167;143;24
"Proportion of links";1;0,856287425149701;0,143712574850299
"Density";0,976608187134503;0,83625730994152;0,140350877192982
"Global transitivity";0,977649603460707;0,907442748091603;0
"Average local transitivity";0,978310973512212;0,916747751732272;0
"Number of components";1;1;1
"Giant component size";19;19;19
"Giant component proportion";1;1;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";17,5789473684211;15,0526315789474;2,52631578947368
"Degree stdev";0,768533196975772;3,09970758854814;3,0617428053068
"Minimal degree";16;4;1
"Maximal degree";18;17;14
"Degree correlation";-0,14024306978025;-0,00964697658161156;-0,63986297103706
"Average strength";8,85144481911101;9,60314318501827;-0,751698365907263
"Strength stdev";4,50734222968695;3,8390933758705;0,959496331910617
"Minimal strength";-2,16152748180612;1,05640437993379;-3,21793186173991
"Maximal strength";12,9904828334496;13,0904828334496;-0,1
"Strength correlation";-0,0529870591764198;0,0189083875676078;-0,736243440017178
