"";"Original";"Positive";"Negative"
"Number of nodes";21;21;21
"Number of isolates";0;0;10
"Proportion of isolates";0;0;0,476190476190476
"Number of links";202;183;19
"Proportion of links";1;0,905940594059406;0,0940594059405941
"Density";0,961904761904762;0,871428571428571;0,345454545454545
"Global transitivity";0,967585089141005;0,901954397394137;0
"Average local transitivity";0,969924812030075;0,916347974187426;0
"Number of components";1;1;1
"Giant component size";21;21;11
"Giant component proportion";1;1;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";19,2380952380952;17,4285714285714;3,45454545454545
"Degree stdev";1,33808676492827;2,52133751353183;1,9679246105294
"Minimal degree";16;13;1
"Maximal degree";20;20;7
"Degree correlation";-0,167180277349738;-0,184404457744966;-0,730693069306931
"Average strength";10,2140037536378;10,5943051155052;-0,726029872655957
"Strength stdev";4,61731870060722;4,1733317249623;0,5158027461636
"Minimal strength";0,646550467573768;2,37550729160506;-1,72895682403129
"Maximal strength";14,7182391951668;14,7182391951668;-0,028169014084507
"Strength correlation";-0,0505441313854522;-0,170728545927591;-0,451517749094625
