"";"Original";"Positive";"Negative"
"Number of nodes";21;21;21
"Number of isolates";0;0;1
"Proportion of isolates";0;0;0,0476190476190476
"Number of links";197;166;31
"Proportion of links";1;0,842639593908629;0,157360406091371
"Density";0,938095238095238;0,790476190476191;0,163157894736842
"Global transitivity";0,948710682913007;0,917204709456893;0
"Average local transitivity";0,952697979776706;0,877646357688375;0
"Number of components";1;1;1
"Giant component size";21;21;20
"Giant component proportion";1;1;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";18,7619047619048;15,8095238095238;3,1
"Degree stdev";1,72929933512859;4,17874440016433;3,93232220128728
"Minimal degree";14;4;1
"Maximal degree";20;18;15
"Degree correlation";-0,162614797126011;0,233527411788581;-0,876134923986487
"Average strength";7,85565722558302;8,30182364752459;-0,468474743038651
"Strength stdev";3,71786426000791;3,30160054339688;0,650121304889489
"Minimal strength";-1,52912110987358;1,121875;-2,65099610987359
"Maximal strength";12,0231799757841;12,3242642126482;-0,0526315789473684
"Strength correlation";-0,049869880703186;0,102040344745813;-0,773643348859584
