"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";0;2;4
"Proportion of isolates";0;0,105263157894737;0,210526315789474
"Number of links";48;30;18
"Proportion of links";1;0,625;0,375
"Density";0,280701754385965;0,220588235294118;0,171428571428571
"Global transitivity";0,732718894009217;0,978947368421053;0
"Average local transitivity";0,803174603174603;0,952380952380952;0
"Number of components";1;4;1
"Giant component size";19;6;15
"Giant component proportion";1;0,352941176470588;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";5,05263157894737;3,52941176470588;2,4
"Degree stdev";1,58021391697194;1,54586735600211;1,76473389333512
"Minimal degree";1;1;1
"Maximal degree";8;5;6
"Degree correlation";0,2939445942633;0,919282511210761;-0,80146460537022
"Average strength";2,14103603667552;2,97711143906883;-0,662080651155675
"Strength stdev";2,07276920215468;1,52298360137598;0,480081819760943
"Minimal strength";-1,54102564102564;0,790697674418605;-1,55917564173523
"Maximal strength";4,56708826533678;4,84336128638977;-0,225806451612903
"Strength correlation";0,412715002708486;0,967322557579875;-0,828870724962119
