"";"Original";"Positive";"Negative"
"Number of nodes";21;21;21
"Number of isolates";1;2;10
"Proportion of isolates";0,0476190476190476;0,0952380952380952;0,476190476190476
"Number of links";57;42;15
"Proportion of links";1;0,736842105263158;0,263157894736842
"Density";0,3;0,245614035087719;0,272727272727273
"Global transitivity";0,763005780346821;0,761904761904762;0
"Average local transitivity";0,80163139329806;0,806398809523809;0
"Number of components";2;3;1
"Giant component size";18;13;11
"Giant component proportion";0,9;0,684210526315789;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";5,7;4,42105263157895;2,72727272727273
"Degree stdev";2,86723780520189;2,24390011348506;2,19503572139084
"Minimal degree";1;1;1
"Maximal degree";10;8;8
"Degree correlation";0,613191261384606;0,655172413793103;-0,787425149700599
"Average strength";3,23034966733183;3,81540852594644;-0,716888058758706
"Strength stdev";2,47040116816093;2,24128127492153;0,57989605898559
"Minimal strength";-1,79579789845147;0,719851576994434;-1,93041975805475
"Maximal strength";6,96730506719364;7,44625469038995;-0,216666666666667
"Strength correlation";-0,0605846406252907;0,724146511575463;-0,815945980134482
