"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";1;2;9
"Proportion of isolates";0,0526315789473684;0,105263157894737;0,473684210526316
"Number of links";107;99;8
"Proportion of links";1;0,925233644859813;0,0747663551401869
"Density";0,699346405228758;0,727941176470588;0,177777777777778
"Global transitivity";0,885022692889561;0,940486169321039;0
"Average local transitivity";0,893562646503823;0,944206164206164;0
"Number of components";1;2;2
"Giant component size";18;15;8
"Giant component proportion";1;0,882352941176471;0,8
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";11,8888888888889;11,6470588235294;1,6
"Degree stdev";4,29622116980368;4,16745090658829;1,57762127549323
"Minimal degree";1;1;1
"Maximal degree";15;14;6
"Degree correlation";0,000933706816061165;0,473184081493034;-0,613636363636364
"Average strength";7,7888163592131;8,7469820274021;-0,85
"Strength stdev";4,37809700514586;3,52833320512798;0,824770824884251
"Minimal strength";-2,25;0,666666666666667;-2,91666666666667
"Maximal strength";10,9356481481481;11,5;-0,416666666666667
"Strength correlation";0,0279522108334807;0,102742615421446;-0,644547642886054
