"";"Original";"Positive";"Negative"
"Number of nodes";17;17;17
"Number of isolates";0;0;9
"Proportion of isolates";0;0;0,529411764705882
"Number of links";54;45;9
"Proportion of links";1;0,833333333333333;0,166666666666667
"Density";0,397058823529412;0,330882352941176;0,321428571428571
"Global transitivity";0,756521739130435;0,809885931558935;0
"Average local transitivity";0,849325184619302;0,939393939393939;0
"Number of components";2;3;1
"Giant component size";14;12;8
"Giant component proportion";0,823529411764706;0,705882352941177;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";6,35294117647059;5,29411764705882;2,25
"Degree stdev";2,64436137069492;2,95306421117017;1,48804761828569
"Minimal degree";2;1;1
"Maximal degree";11;11;5
"Degree correlation";0,274568195354377;0,20863815419246;-0,914893617021277
"Average strength";4,66403184849044;4,86422132720605;-0,425402642270668
"Strength stdev";2,92649095470163;2,78326160141496;0,30631864535232
"Minimal strength";-0,086717903608612;0,933333333333333;-1,02005123694194
"Maximal strength";10,1913537928199;10,1913537928199;-0,137931034482759
"Strength correlation";0,269040694509475;0,280195775814939;-0,797897671018583
