"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";0;1;2
"Proportion of isolates";0;0,0526315789473684;0,105263157894737
"Number of links";59;33;26
"Proportion of links";1;0,559322033898305;0,440677966101695
"Density";0,345029239766082;0,215686274509804;0,191176470588235
"Global transitivity";0,879452054794521;1;0
"Average local transitivity";0,907490079365079;1;0
"Number of components";2;5;1
"Giant component size";17;6;17
"Giant component proportion";0,894736842105263;0,333333333333333;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";6,21052631578947;3,66666666666667;3,05882352941176
"Degree stdev";2,52935976458736;1,94028500029066;2,13514016622136
"Minimal degree";1;1;1
"Maximal degree";9;5;7
"Degree correlation";0,468039294845915;1;-0,839907192575406
"Average strength";1,58667365016343;2,80132867688987;-1,19277157828897
"Strength stdev";2,0231440653689;1,46704366326035;0,87705424585342
"Minimal strength";-2,11344367015099;0,523809523809524;-2,68398268398269
"Maximal strength";3,38212634822804;4,06130853717348;-0,283018867924528
"Strength correlation";-0,067000368990264;0,974335369852899;-0,722304216436323
