"";"Original";"Positive";"Negative"
"Number of nodes";17;17;17
"Number of isolates";0;0;10
"Proportion of isolates";0;0;0,588235294117647
"Number of links";50;40;10
"Proportion of links";1;0,8;0,2
"Density";0,367647058823529;0,294117647058824;0,476190476190476
"Global transitivity";0,878326996197719;0,896551724137931;0
"Average local transitivity";0,92436974789916;0,906666666666667;0
"Number of components";2;3;1
"Giant component size";10;8;7
"Giant component proportion";0,588235294117647;0,470588235294118;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";5,88235294117647;4,70588235294118;2,85714285714286
"Degree stdev";1,53632487373181;1,79459974236433;1,4638501094228
"Minimal degree";3;1;2
"Maximal degree";8;6;5
"Degree correlation";-0,105249937201706;0,518716577540108;-1
"Average strength";2,65964052287582;3,83611111111111;-2,85714285714286
"Strength stdev";2,65481590147498;1,41343637022867;1,4638501094228
"Minimal strength";-4;1;-5
"Maximal strength";4,6875;5,26666666666667;-2
"Strength correlation";0,269452061270143;0,259198233912715;-1
