"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";1;1;8
"Proportion of isolates";0,0526315789473684;0,0526315789473684;0,421052631578947
"Number of links";54;36;18
"Proportion of links";1;0,666666666666667;0,333333333333333
"Density";0,352941176470588;0,235294117647059;0,327272727272727
"Global transitivity";0,644859813084112;0,73972602739726;0
"Average local transitivity";0,682446311858077;0,791746031746032;0
"Number of components";1;3;1
"Giant component size";18;10;11
"Giant component proportion";1;0,555555555555556;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";6;4;3,27272727272727
"Degree stdev";2,44948974278318;2,1143765594837;2,83163942234562
"Minimal degree";1;1;2
"Maximal degree";10;7;9
"Degree correlation";0,11045218680504;0,48162859980139;-1
"Average strength";2,98969274658441;3,75334303365173;-1,24960956065562
"Strength stdev";2,77986098457176;2,09566549826342;1,08530418517194
"Minimal strength";-2,72755063535249;0,727272727272727;-3,45482336262522
"Maximal strength";6,79085213032582;6,79085213032582;-0,623905723905724
"Strength correlation";0,257694289821138;0,496006714391814;-0,997162430355907
