"";"Original";"Positive";"Negative"
"Number of nodes";21;21;21
"Number of isolates";0;2;5
"Proportion of isolates";0;0,0952380952380952;0,238095238095238
"Number of links";65;42;23
"Proportion of links";1;0,646153846153846;0,353846153846154
"Density";0,30952380952381;0,245614035087719;0,191666666666667
"Global transitivity";0,670588235294118;0,828729281767956;0
"Average local transitivity";0,784065934065934;0,885416666666667;0
"Number of components";1;3;1
"Giant component size";21;9;16
"Giant component proportion";1;0,473684210526316;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";6,19047619047619;4,42105263157895;2,875
"Degree stdev";2,96005147960382;2,03622170463075;2,94108823397055
"Minimal degree";1;1;1
"Maximal degree";13;7;12
"Degree correlation";0,00624333790162944;0,321284286625558;-0,754549090181964
"Average strength";3,1653237689286;3,96701955877755;-0,556348279329555
"Strength stdev";2,50696363678475;2,01289610649685;0,598852958975445
"Minimal strength";-1,69223629418583;0,6875;-2,37973629418583
"Maximal strength";6,70495065570589;6,70495065570589;-0,147058823529412
"Strength correlation";0,0626619939174225;0,465280563873368;-0,716361763501565
