"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";0;0;8
"Proportion of isolates";0;0;0,421052631578947
"Number of links";79;58;21
"Proportion of links";1;0,734177215189873;0,265822784810127
"Density";0,461988304093567;0,339181286549708;0,381818181818182
"Global transitivity";0,859133126934985;0,922437673130194;0
"Average local transitivity";0,876611984506721;0,935947712418301;0
"Number of components";1;3;1
"Giant component size";19;10;11
"Giant component proportion";1;0,526315789473684;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";8,31578947368421;6,10526315789474;3,81818181818182
"Degree stdev";2,7498006307316;2,68524231975244;2,22792198329214
"Minimal degree";4;1;2
"Maximal degree";12;9;8
"Degree correlation";0,567005833672502;0,626318756543448;-0,883720930232558
"Average strength";4,35689120368751;4,96458025307073;-1,04964472166192
"Strength stdev";2,47654621915999;1,99981289824538;0,612064143823498
"Minimal strength";-1,27939969295574;0,859375;-2,13877469295574
"Maximal strength";6,40279334122068;6,96982492734117;-0,372549019607843
"Strength correlation";-0,121191441529018;0,485162176424993;-0,924202242018035
