"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";0;1;3
"Proportion of isolates";0;0,0526315789473684;0,157894736842105
"Number of links";69;53;16
"Proportion of links";1;0,768115942028985;0,231884057971014
"Density";0,403508771929825;0,34640522875817;0,133333333333333
"Global transitivity";0,897959183673469;1;0
"Average local transitivity";0,91040626040626;1;0
"Number of components";2;4;1
"Giant component size";17;10;16
"Giant component proportion";0,894736842105263;0,555555555555556;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";7,26315789473684;5,88888888888889;2
"Degree stdev";4,16122451613515;3,64431691152594;3,22490309931942
"Minimal degree";1;1;1
"Maximal degree";14;9;14
"Degree correlation";0,41208103130755;1;-0,827218934911243
"Average strength";3,76869174536059;5,49291596906739;-1,70420901758511
"Strength stdev";4,95053687931579;3,44900206758831;2,81521013448524
"Minimal strength";-12,2022995916613;0,803921568627451;-12,2022995916613
"Maximal strength";7,70529540487524;8,66117642709258;-0,708333333333333
"Strength correlation";0,0365059662337836;0,973654690057529;-0,81492569087537
