"";"Original";"Positive";"Negative"
"Number of nodes";21;21;21
"Number of isolates";1;1;12
"Proportion of isolates";0,0476190476190476;0,0476190476190476;0,571428571428571
"Number of links";78;70;8
"Proportion of links";1;0,897435897435897;0,102564102564103
"Density";0,410526315789474;0,368421052631579;0,222222222222222
"Global transitivity";0,644904458598726;0,692737430167598;0
"Average local transitivity";0,698659819712451;0,759468962410139;0
"Number of components";1;2;1
"Giant component size";20;18;9
"Giant component proportion";1;0,9;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";7,8;7;1,77777777777778
"Degree stdev";3,20525883674413;3,50938591119361;1,30170827931778
"Minimal degree";1;1;1
"Maximal degree";13;13;4
"Degree correlation";0,0564832511819737;0,150411790203727;-0,952755905511811
"Average strength";5,58013708624012;5,66101952550535;-0,179738753922742
"Strength stdev";3,00651304738651;2,95790570125292;0,13179873802666
"Minimal strength";0,158679780734186;0,588235294117647;-0,429555513383461
"Maximal strength";9,62496910050652;9,62496910050652;-0,0891089108910891
"Strength correlation";0,0904620525029108;0,261355313635701;-0,944023732486605
