"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";1;1;7
"Proportion of isolates";0,0526315789473684;0,0526315789473684;0,368421052631579
"Number of links";71;36;35
"Proportion of links";1;0,507042253521127;0,492957746478873
"Density";0,464052287581699;0,235294117647059;0,53030303030303
"Global transitivity";0,842931937172775;0,853846153846154;0
"Average local transitivity";0,854532722179781;0,901904761904762;0
"Number of components";1;3;1
"Giant component size";18;10;12
"Giant component proportion";1;0,555555555555556;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";7,88888888888889;4;5,83333333333333
"Degree stdev";3,14154118956789;1,60879933307969;0,389249472080761
"Minimal degree";1;1;5
"Maximal degree";11;7;6
"Degree correlation";0,601181416249909;0,208791208791209;-0,166666666666623
"Average strength";1,41339486347221;3,43002046753165;-3,02493840608915
"Strength stdev";2,04012678995732;1,54274840861857;0,341244365142216
"Minimal strength";-2,3866828180307;0,563492063492063;-3,47416917971875
"Maximal strength";4,6082267519883;4,98461538461538;-2,05763125763126
"Strength correlation";0,103782837584479;0,697610448136086;-0,0666754291178793
