"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";0;0;5
"Proportion of isolates";0;0;0,263157894736842
"Number of links";78;43;35
"Proportion of links";1;0,551282051282051;0,448717948717949
"Density";0,456140350877193;0,251461988304094;0,384615384615385
"Global transitivity";0,781869688385269;0,798913043478261;0
"Average local transitivity";0,72460964960965;0,847916666666667;0
"Number of components";1;3;1
"Giant component size";19;11;14
"Giant component proportion";1;0,578947368421053;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";8,21052631578947;4,52631578947368;5
"Degree stdev";3,99414776570284;1,8964417280977;1,8397324220156
"Minimal degree";1;1;1
"Maximal degree";14;8;7
"Degree correlation";0,254067125897699;0,261406333870104;-0,263057929724599
"Average strength";2,34554362670782;3,5453078142606;-1,62825139739306
"Strength stdev";1,22820222542744;1,54757117736016;0,685837171023458
"Minimal strength";-0,153846153846154;0,576923076923077;-2,62501850138761
"Maximal strength";5,17387316561845;5,48637316561845;-0,3125
"Strength correlation";0,0738810415175196;0,305948530542339;-0,242612494558077
