"";"Original";"Positive";"Negative"
"Number of nodes";21;21;21
"Number of isolates";1;1;13
"Proportion of isolates";0,0476190476190476;0,0476190476190476;0,619047619047619
"Number of links";52;44;8
"Proportion of links";1;0,846153846153846;0,153846153846154
"Density";0,273684210526316;0,231578947368421;0,285714285714286
"Global transitivity";0,709302325581395;0,893258426966292;0
"Average local transitivity";0,778835978835979;0,92989417989418;0
"Number of components";3;4;1
"Giant component size";13;8;8
"Giant component proportion";0,65;0,4;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";5,2;4,4;2
"Degree stdev";2,04167114213616;1,72900945174124;0,755928946018454
"Minimal degree";1;1;1
"Maximal degree";8;7;3
"Degree correlation";0,701427684667909;0,649681528662419;-0,142857142857143
"Average strength";3,59287052505675;3,73621999421566;-0,358373672897289
"Strength stdev";1,75073535865971;1,73466558647765;0,149735361644196
"Minimal strength";0,755458515283843;0,755458515283843;-0,511428393808152
"Maximal strength";6,43485831836453;6,43485831836453;-0,13302752293578
"Strength correlation";0,592179350309806;0,724534055495186;-0,0987413691751281
