"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";0;0;7
"Proportion of isolates";0;0;0,368421052631579
"Number of links";102;83;19
"Proportion of links";1;0,813725490196078;0,186274509803922
"Density";0,596491228070175;0,485380116959064;0,287878787878788
"Global transitivity";0,748576850094877;0,756862745098039;0
"Average local transitivity";0,800624590407872;0,821710642298878;0
"Number of components";1;2;1
"Giant component size";19;17;12
"Giant component proportion";1;0,894736842105263;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";10,7368421052632;8,73684210526316;3,16666666666667
"Degree stdev";2,60004498386637;3,6944719253254;2,7579087378049
"Minimal degree";5;1;1
"Maximal degree";17;15;9
"Degree correlation";-0,0693523712391657;0,050982706980612;-0,890766026382781
"Average strength";7,3898530812048;8,13005879200942;-1,17199237544065
"Strength stdev";4,45266498125345;3,69116671373329;1,04351983379049
"Minimal strength";-2,76582038651004;0,620689655172414;-3,38651004168246
"Maximal strength";13;13,6586834733894;-0,272727272727273
"Strength correlation";0,131643092937404;0,0622176406567803;-0,866663491175604
