"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";1;1;6
"Proportion of isolates";0,0526315789473684;0,0526315789473684;0,315789473684211
"Number of links";73;59;14
"Proportion of links";1;0,808219178082192;0,191780821917808
"Density";0,477124183006536;0,38562091503268;0,179487179487179
"Global transitivity";0,747404844290657;0,8359375;0
"Average local transitivity";0,831935348602015;0,896753246753247;0
"Number of components";1;2;1
"Giant component size";18;15;13
"Giant component proportion";1;0,833333333333333;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";8,11111111111111;6,55555555555556;2,15384615384615
"Degree stdev";2,63212928541958;2,57184351875601;2,73392739010365
"Minimal degree";2;2;1
"Maximal degree";13;11;11
"Degree correlation";-0,0624056872673612;0,550970534841502;-0,7836784409257
"Average strength";4,71776117598367;5,05153124997169;-0,462143179368023
"Strength stdev";2,19452268047463;1,86589126978083;0,597634604869851
"Minimal strength";-1,06256201064381;1,08355555555556;-2,36726103977002
"Maximal strength";6,55549448252671;6,93771670474894;-0,159663865546218
"Strength correlation";0,17566802828823;0,782159181397632;-0,793085686245568
