"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";1;1;8
"Proportion of isolates";0,0526315789473684;0,0526315789473684;0,421052631578947
"Number of links";72;62;10
"Proportion of links";1;0,861111111111111;0,138888888888889
"Density";0,470588235294118;0,405228758169935;0,181818181818182
"Global transitivity";0,830935251798561;0,921478060046189;0
"Average local transitivity";0,873801035565742;0,93292297979798;0
"Number of components";1;2;1
"Giant component size";18;16;11
"Giant component proportion";1;0,888888888888889;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";8;6,88888888888889;1,81818181818182
"Degree stdev";2,47338776960337;2,82611537354284;2,71360210119987
"Minimal degree";1;1;1
"Maximal degree";11;11;10
"Degree correlation";0,232227488151658;0,758180736431546;-1
"Average strength";5,27243864601185;5,52796259100948;-0,418130091814302
"Strength stdev";2,33585742370393;1,98454743242393;0,62539609795209
"Minimal strength";-1,45356165882482;0,846153846153846;-2,29971550497866
"Maximal strength";8,23992673992674;8,23992673992674;-0,175
"Strength correlation";0,260951532352438;0,633646694645396;-0,999216143063434
