"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";4;4;7
"Proportion of isolates";0,210526315789474;0,210526315789474;0,368421052631579
"Number of links";77;42;35
"Proportion of links";1;0,545454545454545;0,454545454545455
"Density";0,733333333333333;0,4;0,53030303030303
"Global transitivity";0,870843989769821;0,846534653465347;0
"Average local transitivity";0,8799222999223;0,887777777777778;0
"Number of components";1;2;1
"Giant component size";15;9;12
"Giant component proportion";1;0,6;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";10,2666666666667;5,6;5,83333333333333
"Degree stdev";3,12745141943922;1,12122382116278;1,02985730108887
"Minimal degree";4;4;5
"Maximal degree";13;8;7
"Degree correlation";-0,0138304934720033;0,104355716878405;-1
"Average strength";1,7030303030303;5,07272727272727;-4,21212121212121
"Strength stdev";1,66722580152727;0,729048157570314;0,870877286236957
"Minimal strength";-0,0545454545454531;3,52727272727273;-5,05454545454545
"Maximal strength";5;6,33636363636363;-2,72727272727272
"Strength correlation";-0,0452414915503918;-0,0588718804547528;-0,763607979527545
