"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";0;0;5
"Proportion of isolates";0;0;0,263157894736842
"Number of links";101;64;37
"Proportion of links";1;0,633663366336634;0,366336633663366
"Density";0,590643274853801;0,374269005847953;0,406593406593407
"Global transitivity";0,73841961852861;0,905797101449275;0
"Average local transitivity";0,829495358442727;0,907096171802054;0
"Number of components";1;2;1
"Giant component size";19;17;14
"Giant component proportion";1;0,894736842105263;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";10,6315789473684;6,73684210526316;5,28571428571429
"Degree stdev";3,77433623768309;2,28137641843101;1,72887564301513
"Minimal degree";5;1;1
"Maximal degree";16;9;7
"Degree correlation";-0,190922588219046;0,707374631268437;-0,340579710144926
"Average strength";3,81450373671736;5,3136118009957;-2,03450380152061
"Strength stdev";1,94229236043636;1,90324613133004;0,828494346963056
"Minimal strength";-1,13214285714286;0,6;-3,64285714285714
"Maximal strength";5,89446778711484;6,89047619047619;-0,3125
"Strength correlation";0,119856523291881;0,277297637799622;-0,241567402498758
