"";"Original";"Positive";"Negative"
"Number of nodes";21;21;21
"Number of isolates";1;2;14
"Proportion of isolates";0,0476190476190476;0,0952380952380952;0,666666666666667
"Number of links";88;80;8
"Proportion of links";1;0,909090909090909;0,0909090909090909
"Density";0,463157894736842;0,467836257309941;0,380952380952381
"Global transitivity";0,851013110846246;0,900388098318241;0
"Average local transitivity";0,76765690449901;0,874547021605845;0
"Number of components";1;2;1
"Giant component size";20;17;7
"Giant component proportion";1;0,894736842105263;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";8,8;8,42105263157895;2,28571428571429
"Degree stdev";4,00788696132224;4,46362818883777;1,11269728052837
"Minimal degree";1;1;1
"Maximal degree";14;14;4
"Degree correlation";0,579690726524693;0,543606238999818;-0,6
"Average strength";7,34546889268914;7,99980897695874;-0,726713244061904
"Strength stdev";4,99449697085978;4,50766550499872;0,345450100092918
"Minimal strength";-0,478526634066221;0,69047619047619;-1,16900282454241
"Maximal strength";13,059106275173;13,059106275173;-0,255813953488372
"Strength correlation";0,645421672348495;0,595076346546034;-0,506596450497113
