"";"Original";"Positive";"Negative"
"Number of nodes";19;19;19
"Number of isolates";1;2;9
"Proportion of isolates";0,0526315789473684;0,105263157894737;0,473684210526316
"Number of links";41;30;11
"Proportion of links";1;0,731707317073171;0,268292682926829
"Density";0,26797385620915;0,220588235294118;0,244444444444444
"Global transitivity";0,821428571428571;0,978947368421053;0
"Average local transitivity";0,828011204481793;0,952380952380952;0
"Number of components";2;4;1
"Giant component size";12;6;10
"Giant component proportion";0,666666666666667;0,352941176470588;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";4,55555555555556;3,52941176470588;2,2
"Degree stdev";1,61690416690889;1,54586735600211;1,87379590967403
"Minimal degree";1;1;1
"Maximal degree";7;5;7
"Degree correlation";0,249395509499136;0,919282511210761;-0,699570815450644
"Average strength";2,64310261059349;3,14552661386764;-0,589810544506719
"Strength stdev";2,00662860090954;1,58122074171292;0,549634485422077
"Minimal strength";-2,02159125234718;0,664210526315789;-2,02159125234718
"Maximal strength";4,841514317699;4,841514317699;-0,207674943566591
"Strength correlation";0,48172013210787;0,973538232943241;-0,652245638971848
