"";"Original";"Positive";"Negative"
"Number of nodes";21;21;21
"Number of isolates";0;2;6
"Proportion of isolates";0;0,0952380952380952;0,285714285714286
"Number of links";63;39;24
"Proportion of links";1;0,619047619047619;0,380952380952381
"Density";0,3;0,228070175438597;0,228571428571429
"Global transitivity";0,657430730478589;0,886792452830189;0
"Average local transitivity";0,770641025641026;0,910714285714286;0
"Number of components";1;4;1
"Giant component size";21;8;15
"Giant component proportion";1;0,421052631578947;1
"Link-connectivity";NA;NA;NA
"Node-connectivity";NA;NA;NA
"Average degree";6;4,10526315789474;3,2
"Degree stdev";2,86356421265527;2,05195670417031;3,23375058672478
"Minimal degree";1;1;1
"Maximal degree";13;7;12
"Degree correlation";-0,109564643799472;0,692359702501691;-0,851172273190622
"Average strength";3,19196154679949;3,7554493317644;-0,288156321382288
"Strength stdev";2,41899612429239;2,08500468821969;0,301099502553067
"Minimal strength";-0,333198348399604;0,675435540069686;-1,11876458167641
"Maximal strength";6,70359574009443;6,73917057155498;-0,0714940421631531
"Strength correlation";0,461576757972082;0,748234150821356;-0,834605735957567
