,Policy,Frequency
1,Agriculture,53
2,Budget,179
3,Budgetary control,113
4,Civil liberties, justice & home affairs,99
5,Constitutional and inter-institutional affairs,40
6,Culture & education,19
7,Development,29
8,Economic & monetary affairs,128
9,Employment & social affairs,44
10,Environment & public health,100
11,Fisheries,53
12,Foreign & security policy,191
13,Gender equality,28
14,Industry, research & energy,51
15,Internal market & consumer protection,39
16,Internal regulations of the EP,7
17,International trade,106
18,Legal affairs,67
19,Petitions,5
20,Regional development,35
21,Transport & tourism,40
