Global time spent: 2985.99
I(P) = 757.999
Clustering configuration: 
 Partition 0 (672): [ 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 35 37 38 40 41 42 43 44 45 47 49 50 51 52 53 54 55 57 58 59 60 61 62 63 64 65 66 67 69 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 100 101 102 103 104 105 106 107 108 109 110 111 112 113 115 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 137 138 139 140 141 142 143 144 146 147 148 149 151 152 154 155 156 158 159 161 164 165 166 167 168 169 170 171 172 173 174 175 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 196 197 198 199 200 201 202 203 204 206 207 208 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 228 229 230 231 232 233 234 236 237 238 239 240 241 242 244 246 247 248 249 250 252 253 254 255 256 257 258 260 262 263 264 265 266 267 268 269 270 271 272 273 274 275 276 277 278 279 280 281 282 283 284 285 286 288 289 290 291 292 293 294 295 296 297 298 299 300 301 302 303 305 307 308 309 310 311 312 313 314 315 317 319 322 323 324 325 326 328 330 331 332 334 335 336 337 338 340 341 342 343 344 345 346 347 348 349 350 351 352 353 354 356 357 358 359 360 363 364 365 366 367 368 369 370 371 372 373 374 375 377 378 379 380 381 382 383 384 385 387 388 390 391 392 393 394 395 396 397 398 399 400 402 403 404 405 406 407 409 410 412 413 414 415 416 417 418 419 420 421 422 423 424 425 427 428 429 430 431 432 433 435 437 438 439 440 441 442 443 444 445 447 448 449 450 451 452 453 454 455 456 457 458 459 460 461 462 465 466 467 468 469 470 471 472 475 476 477 478 479 480 481 482 483 484 485 486 487 488 489 490 491 492 493 494 495 498 499 500 502 504 505 506 507 508 509 510 512 513 514 515 516 518 521 522 523 524 526 527 528 529 530 531 532 533 534 535 536 537 538 539 540 541 542 543 544 545 546 549 550 551 552 553 554 555 556 557 558 559 561 562 563 564 565 568 569 571 572 573 574 575 576 577 578 579 580 581 582 583 584 585 586 587 588 589 590 591 592 593 594 595 596 597 599 600 601 602 603 604 605 606 608 609 610 611 613 614 615 616 617 620 621 622 623 624 626 627 628 629 630 632 633 634 635 636 637 638 639 640 641 642 643 644 645 646 647 648 649 650 652 654 655 656 657 658 659 661 662 664 665 666 668 669 670 671 672 673 674 675 676 677 678 679 680 681 682 683 684 685 686 687 689 690 691 692 693 694 695 696 697 698 700 701 702 703 704 705 706 707 708 709 710 711 712 713 714 716 717 718 719 720 721 722 723 725 726 727 728 729 730 731 732 733 734 736 737 738 739 740 741 742 743 744 745 746 747 748 749 750 751 752 753 754 755 756 757 758 759 760 762 763 ] 
 Partition 1 (89): [ 33 36 39 46 48 56 68 70 99 114 116 136 150 153 157 160 162 163 176 195 205 209 226 227 235 243 245 251 259 287 304 306 316 318 320 321 327 329 333 339 355 361 362 376 386 389 408 411 426 434 436 446 463 464 473 474 496 497 501 503 511 517 519 520 525 547 548 560 566 567 570 598 607 612 618 619 625 631 651 653 660 663 667 688 699 715 724 735 761 ] 
 Partition 2 (3): [ 145 261 401 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,0,0
1,0,0
2,0.666666,2.66666
3,17.6667,12.6667
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0.999999,0.333333
14,0.999999,0.333333
15,0,0
16,0,0
17,0,0
18,0.333333,0.999999
19,0.333333,0.999999
20,0,0
21,0.999999,0.333333
22,0,0
23,0,0
24,5.66666,2.66666
25,0,0
26,0,0
27,0,0
28,0,0
29,5.33333,0.333333
30,0,0
31,0.999999,0.333333
32,0.666666,2.33333
33,9.33333,0
34,0,0
35,0,0
36,9.66666,7.33333
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,23.3333,3
47,1.66667,6.66666
48,9.66667,0.999999
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0.333333,0.999999
55,0,0
56,0.999999,0.666666
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0.666666,2.33333
66,0,0
67,0,0
68,4.66666,0
69,0,0
70,0,0
71,0,0
72,0,0
73,1.66667,6.66666
74,0,0
75,0,0
76,0,0
77,0,0
78,0.666666,0.333333
79,0.666666,0.333333
80,7.33333,9.66666
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0.666666,0.333333
91,0,0
92,0,0
93,0.666666,0.333333
94,0,0
95,0.333333,0.999999
96,0,0
97,0,0
98,0.333333,0.999999
99,9.66666,6.66666
100,0,0
101,0.666666,0.333333
102,4.33333,1.66667
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0.999999,0.666666
115,0,0
116,4.66666,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,7.33333,9.33333
124,0,0
125,0.666666,2.33333
126,4,0
127,0,0
128,0.666666,0.333333
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0.333333,0.999999
135,4.33333,1.33333
136,10,0
137,0.666666,0.333333
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,16.3333,0
146,0,0
147,0.666666,0.333333
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,4.66666,0
154,0,0
155,0.333333,2.33333
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,8.66667,0.666666
163,0,0
164,0,0
165,0,0
166,0,0
167,0.333333,0.999999
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,8.66667,0.666666
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0.333333,0.999999
191,0,0
192,0,0
193,0,0
194,0.333333,0.999999
195,8.66666,0
196,0,0
197,0.666666,0.333333
198,0,0
199,0,0
200,0.666666,0.999999
201,0,0
202,0.666666,0.333333
203,0,0
204,0,0
205,8.66667,0.666666
206,0,0
207,0,0
208,0,0
209,8.99999,5.66666
210,0,0
211,0,0
212,0.333333,2.33333
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0.333333,0.999999
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,3.66666,0.333333
227,8.99999,5.33333
228,3.66666,0.333333
229,0,0
230,0,0
231,0,0
232,3,1.33333
233,0.333333,2.33333
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0.666666,0.333333
