Global time spent: 7208.07
I(P) = 464.472
Clustering configuration: 
 Partition 0 (72): [ 13 24 41 72 75 102 117 139 140 155 162 166 169 217 244 255 257 271 286 300 325 331 344 351 353 365 369 375 376 401 416 419 426 441 471 479 483 491 497 498 515 516 519 538 540 541 543 544 570 571 573 574 593 596 640 648 651 653 701 711 721 741 749 750 756 767 772 783 788 796 801 831 ] 
 Partition 1 (767): [ 0 1 2 3 4 5 6 7 8 9 10 11 12 14 15 16 17 18 19 20 21 22 23 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 73 74 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 103 104 105 106 107 108 109 110 111 112 113 114 115 116 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 141 142 143 144 145 146 147 148 149 150 151 152 153 154 156 157 158 159 160 161 163 164 165 167 168 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 245 246 247 248 249 250 251 252 253 254 256 258 259 260 261 262 263 264 265 266 267 268 269 270 272 273 274 275 276 277 278 279 280 281 282 283 284 285 287 288 289 290 291 292 293 294 295 296 297 298 299 301 302 303 304 305 306 307 308 309 310 311 312 313 314 315 316 317 318 319 320 321 322 323 324 326 327 328 329 330 332 333 334 335 336 337 338 339 340 341 342 343 345 346 347 348 349 350 352 354 355 356 357 358 359 360 361 362 363 364 366 367 368 370 371 372 373 374 377 378 379 380 381 382 383 384 385 386 387 388 389 390 391 392 393 394 395 396 397 398 399 400 402 403 404 405 406 407 408 409 410 411 412 413 414 415 417 418 420 421 422 423 424 425 427 428 429 430 431 432 433 434 435 436 437 438 439 440 442 443 444 445 446 447 448 449 450 451 452 453 454 455 456 457 458 459 460 461 462 463 464 465 466 467 468 469 470 472 473 474 475 476 477 478 480 481 482 484 485 486 487 488 489 490 492 493 494 495 496 499 500 501 502 503 504 505 506 507 508 509 510 511 512 513 514 517 518 520 521 522 523 524 525 526 527 528 529 530 531 532 533 534 535 536 537 539 542 545 546 547 548 549 550 551 552 553 554 555 556 557 558 559 560 561 562 563 564 565 566 567 568 569 572 575 576 577 578 579 580 581 582 583 584 585 586 587 588 589 590 591 592 594 595 597 598 599 600 601 602 603 604 605 606 607 608 609 610 611 612 613 614 615 616 617 618 619 620 621 622 623 624 625 626 627 628 629 630 631 632 633 634 635 636 637 638 639 641 642 643 645 646 647 649 650 652 654 655 656 657 658 659 660 661 662 663 664 665 666 667 668 669 670 671 672 673 674 675 676 677 678 679 680 681 682 683 684 685 686 687 688 689 690 691 692 693 694 695 696 697 698 699 700 702 703 704 705 706 707 708 709 710 712 713 714 715 716 717 718 719 720 722 723 724 725 726 727 728 729 730 731 732 733 734 735 736 737 738 739 740 742 743 744 745 746 747 748 751 752 753 754 755 757 758 759 760 761 762 763 764 765 766 768 769 770 771 773 774 775 776 777 778 779 780 781 782 784 785 786 787 789 790 791 792 793 794 795 797 798 799 800 802 803 804 805 806 807 808 809 810 811 812 813 814 815 816 817 818 819 820 821 822 823 824 825 826 827 828 829 830 832 833 834 835 836 837 838 839 ] 
 Partition 2 (1): [ 644 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,0.104712,0.03665
1,0,0.078535
2,0,0.104713
3,0.476441,0.518325
4,0.130891,0.057592
5,0,0.005236
6,0.010471,0.031414
7,0.03665,0.052357
8,0.005236,0.193715
9,0.005236,0.104713
10,0.005236,0.089008
11,0.005236,0.104712
12,0,0.078534
13,5.1623,0.020942
14,0.083772,0.089006
15,0.052357,0.020942
16,0.005236,0.104712
17,0.25131,0.062827
18,0,0.03665
19,0.350785,0.047121
20,0.130889,0.04712
21,0,0.141361
22,0.010472,0.298431
23,0.005236,0.068064
24,4.3822,0
25,0,0.078534
26,0,0.109947
27,2.96335,0.670156
28,0.010471,0.089004
29,1.82723,0.753931
30,0.209425,0.062828
31,0.015707,0.073298
32,0.151834,0.057592
33,0.816755,0.476442
34,0.073299,0.047121
35,0.392669,0.204189
36,3.22513,0.382203
37,0.020943,1.38744
38,0.010471,0.020943
39,0.005236,1.59687
40,0.047121,0.015707
41,1.88482,0
42,0.005236,0.057592
43,0.005236,0.141361
44,0,0.125653
45,2.17801,0.015707
46,0.020943,0.020943
47,1.08901,0.078535
48,0.005236,0.13089
49,0,0.073299
50,2.54974,0.560211
51,0,0.141361
52,0.005236,0.020943
53,0,0.015707
54,0,0.015708
55,0.219896,0.005236
56,0.303663,0.047121
57,0.172776,0.062828
58,0.596858,1.50786
59,0.350786,0.052358
60,0.162304,0.020943
61,0.020943,0.099477
62,0,0.162303
63,0.015708,0.151833
64,0.570681,0.057593
65,0,0.04712
66,0.020942,0.120418
67,0.151832,0.109946
68,0.005236,0.099477
69,0.015707,0.204189
70,0.895287,0.565445
71,0,0.099476
72,0.71204,0
73,0.005236,0.099477
74,0,0.041885
75,0.869112,0.047121
76,3.82723,0.376964
77,0.005236,0.109947
78,0.382198,0.141362
79,0.057592,0.005236
80,3.37696,0.612565
81,3.04712,0.314137
82,0.481676,0.261781
83,0,0.020942
84,0.3822,0.041885
85,0.387434,0.08377
86,0,0.146596
87,0.146599,0.041885
88,0.267017,1.35079
89,0.031414,0.010472
90,0.005236,0.157067
91,0,0.073298
92,0.178009,0.057593
93,0,0.151832
94,0.109948,0.010471
95,0,0.115183
96,0.120419,0.026178
97,0.047121,0.099476
98,0.340314,0.057593
99,0.010471,0.115184
100,0.010472,0.03665
101,0.471206,0.005236
102,3.13089,0
103,0,0.04712
104,0.036649,0.010472
105,5.54974,0.57068
106,0,0.104711
107,0,0.057591
108,0.026178,0.010471
109,0,0.12042
110,0,0.115184
111,0.041884,0.031414
112,0.125655,0.015707
113,3.09947,0.21466
114,0.188482,0.041885
115,0.130891,0.052357
116,0.015707,0.010472
117,0.591623,0
118,0.319372,0.020943
119,0.602094,0.623038
120,0.141362,0.015708
121,0,0.167539
122,0.272251,0
123,0,0.078534
124,3.16754,0.230366
125,0.052356,0.026178
126,0.010471,0.083771
127,0.6178,0.031414
128,0.649214,0.078535
129,3.10995,0.251308
130,0.02618,0.455509
131,1.37697,0.85864
132,0.015707,0.062826
133,0.026179,0.020943
134,0.026178,0.115185
135,0.193718,0.047121
136,0,0.078534
137,0.094241,0.010471
138,0.617801,0.005236
139,8.94241,0.005236
140,13.2565,0
141,0.78534,0.115184
142,0,0.041885
143,0,0.073298
144,0.057592,0.136125
145,0,0.104714
146,0,0.13089
147,0.219896,0.036649
148,0,0.036649
149,0.863875,0.633511
150,0.020942,0.240838
151,0.020942,0.036649
152,0.230367,0.068064
153,0.413614,0.82199
154,0.193718,0.015708
155,1.41362,0
156,0.026178,0.062827
157,2.70681,0.46597
158,0.916231,0.19372
159,0,0.089006
