Global time spent: 7206.28
I(P) = 1746.44
Clustering configuration: 
 Partition 0 (111): [ 13 29 41 45 72 76 80 81 102 105 113 117 124 129 138 140 155 157 162 166 169 196 210 211 225 240 241 244 255 256 257 271 276 280 283 285 295 300 301 309 310 325 331 340 344 348 351 353 354 357 366 369 375 376 379 389 397 398 401 405 419 426 441 452 463 477 479 483 493 494 506 510 515 516 517 538 539 540 541 544 546 563 570 573 574 596 598 607 616 620 640 645 648 651 653 663 666 693 701 704 705 721 724 748 749 750 755 756 757 766 776 ] 
 Partition 1 (665): [ 0 1 2 3 4 5 6 7 8 9 10 11 12 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 37 38 39 40 42 43 44 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 73 74 75 77 78 79 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 103 104 106 107 108 109 110 111 112 114 115 116 118 119 120 121 122 123 125 126 127 128 130 131 132 133 134 135 136 137 139 141 142 143 144 145 146 147 148 149 150 151 152 153 154 156 158 159 160 161 163 164 165 167 168 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 197 198 199 200 201 202 203 204 205 206 207 208 209 212 213 214 215 216 217 218 219 220 221 222 223 224 226 227 228 229 230 231 232 233 234 235 236 237 238 242 243 245 246 247 248 249 250 251 252 253 254 258 259 260 261 262 263 264 265 266 267 268 269 270 272 273 274 275 277 278 279 281 282 284 286 287 288 289 290 291 292 293 294 296 297 298 299 302 303 304 305 306 307 308 311 312 313 314 315 316 317 318 319 320 321 322 323 324 326 327 328 329 330 332 333 334 335 336 337 338 339 341 342 343 345 346 347 349 350 352 355 356 358 359 360 361 362 363 364 365 367 368 370 371 372 373 374 377 378 380 381 382 383 384 385 386 387 388 390 391 392 393 394 395 396 399 400 402 403 404 406 407 408 409 410 411 412 413 414 415 416 417 418 420 421 422 423 424 425 427 428 429 430 431 432 433 434 435 436 437 438 439 440 442 443 444 445 446 447 448 449 450 451 453 454 455 456 457 458 459 460 461 462 464 465 466 467 468 469 470 471 472 473 474 475 476 478 480 481 482 484 485 486 487 488 489 490 491 492 495 496 497 498 499 500 501 502 503 504 505 507 508 509 511 512 513 514 518 519 520 521 522 523 524 525 526 527 528 529 530 531 532 533 534 535 536 537 542 543 545 547 548 549 550 551 552 553 554 555 556 557 558 559 560 561 562 564 565 566 567 568 569 571 572 575 576 577 578 579 580 581 582 583 584 585 586 587 588 589 590 591 592 593 594 595 597 599 600 601 602 603 604 605 606 608 609 610 611 612 613 614 615 617 618 619 621 622 623 624 625 626 627 628 629 630 631 632 633 634 635 636 637 638 639 641 642 643 644 646 647 649 650 652 654 655 656 657 658 659 660 661 662 664 665 667 668 669 670 671 672 673 674 675 676 677 678 679 680 681 682 683 684 685 686 687 688 689 690 691 692 694 695 696 697 698 699 700 702 703 706 707 708 709 710 711 712 713 714 715 716 717 718 719 720 722 723 725 726 727 728 729 730 731 732 733 734 735 736 737 738 739 740 741 742 743 744 745 746 747 751 752 753 754 758 759 760 761 762 763 764 765 767 768 769 770 771 772 773 774 775 777 ] 
 Partition 2 (2): [ 36 239 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,0.444444,1.55555
1,0.111111,0.666666
2,0,0.666666
3,10.8889,7.99999
4,1.33333,0
5,0,0.111111
6,0.444444,4.88888
7,0.111111,0.333333
8,0.111111,0.444444
9,0.111111,0.666666
10,0.111111,0.888888
11,0,0.111111
12,0.111111,0.555555
13,56.3333,0.222222
14,0.777777,0.333333
15,0,0.666666
16,0,0.666666
17,4.44444,1.55555
18,0,0.666666
19,2.55555,0.333333
20,0.111111,0.555555
21,0.111111,0.555555
22,0,0.111111
23,0,0.111111
24,18.2222,6.66666
25,0,0
26,0.111111,0.666666
27,1.11111,13.2222
28,1.22222,0.444444
29,12.5555,0.555555
30,0.111111,0
31,1.22222,0.444444
32,1.11111,0
33,11.8889,10.2222
34,1.55555,0.777777
35,4.33333,0.555555
36,20.7778,0
37,0.222222,1.33333
38,0.111111,0.555555
39,3.33333,2.55555
40,0.111111,0.555555
41,6.99999,0.444444
42,0,1.11111
43,2.66666,0
44,0.111111,0.555555
45,21.5555,0.222222
46,1.77778,9.88888
47,0.111111,0.222222
48,0,1.77778
49,1.44444,2.55555
50,0.666666,0
51,0.111111,0.444444
52,0,0.555555
53,0.555555,1.44444
54,0.666666,0.222222
55,0.222222,2.44444
56,0.111111,19.3333
57,0,1.11111
58,5.99999,1.44444
59,0.333333,3.11111
60,0,0.111111
61,0.666666,7.55555
62,0,0.111111
63,0.999999,0
64,1.22222,0.333333
65,0.111111,1.33333
66,2.66666,0
67,0.888888,0.222222
68,0,0.222222
69,2.66666,0
70,3.66666,0.666666
71,0,0
72,4.77777,0.444444
73,2.55555,0.555555
74,0.111111,0.555555
75,4.11111,7.33333
76,4.77777,0.222222
77,0,0.555555
78,3.44444,1.11111
79,0.555555,0.999999
80,2.77778,0.111111
81,2.77778,0.111111
82,0.111111,0.555555
83,0.555555,0.777777
84,0,0.111111
85,0.444444,0.111111
86,0,0.111111
87,0,0.111111
88,3.33333,2.22222
89,0.111111,0.555555
90,0.111111,0.555555
91,0,0.666666
92,0,0.111111
93,5.77777,0
94,0,0.555555
95,4.77777,0
96,0,0.111111
97,4,1.44444
98,0,0.111111
99,0,0.111111
100,0.111111,0.555555
101,0.888888,0
102,20.8889,0.555555
103,0.111111,1.22222
104,0.999999,0
105,1.88889,0
106,0.777777,0.555555
107,0,0.111111
108,0.111111,0.333333
109,0,0.555555
110,0.111111,0.111111
111,0.111111,0.555555
112,0.111111,0.555555
113,2.77778,0.111111
114,0,0.111111
115,0,1.11111
116,0.111111,0.555555
117,7.66666,0.555555
118,0,0.666666
119,9.66666,4.33333
120,3.44444,0.666666
121,0,0.111111
122,0.888888,0
123,1.66666,0
124,4,0.222222
125,0.111111,0.333333
126,0.222222,2.33333
127,0.111111,6.44444
128,0,0.555555
129,3.77777,0
130,0.333333,0.222222
131,0.888888,0.222222
132,0,0.111111
133,0.666666,0.222222
134,0.111111,0.777777
135,0,0.555555
136,0.555555,0
137,1.11111,0.888888
138,7.66666,0.666666
139,25.1111,16.1111
140,15.3333,0.888888
141,0.666666,2.22222
142,0,0.111111
143,2.44444,0.111111
144,1.11111,0
145,1.11111,0.444444
146,0.111111,0.111111
147,0.111111,0.444444
148,1.11111,0
149,0.999999,0
150,1.33333,0.333333
151,0.555555,0
152,0.888888,0.222222
153,0.444444,4
154,2.33333,0.111111
