Global time spent: 968.527
I(P) = 1556.57
Clustering configuration: 
 Partition 0 (729): [ 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 73 74 75 76 77 78 79 80 81 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 103 104 105 106 107 108 109 110 111 112 113 114 115 116 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 156 157 158 159 160 161 163 164 165 167 168 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 256 258 259 260 261 263 264 265 266 267 268 269 270 272 273 274 275 276 277 278 279 280 281 282 283 284 285 286 287 288 289 290 292 293 294 295 296 297 298 299 300 301 302 303 304 305 306 307 308 309 310 311 312 313 314 315 316 317 318 319 321 322 323 324 325 326 327 328 329 330 331 332 333 334 335 336 337 338 339 340 341 342 343 344 345 346 347 348 349 350 352 354 355 356 357 358 359 360 361 362 363 364 365 366 367 368 369 370 371 372 373 374 377 378 379 380 381 382 383 384 385 386 387 388 389 390 391 392 393 394 395 396 397 398 399 400 401 402 403 404 405 406 407 408 409 410 411 412 413 414 415 416 417 418 419 420 421 422 423 424 425 427 428 429 430 431 432 433 434 435 436 437 438 439 440 442 443 444 445 446 447 448 450 451 452 453 454 455 456 457 458 459 460 461 462 463 464 465 466 467 468 469 470 471 472 473 474 476 477 478 480 481 482 483 484 485 486 487 488 489 490 491 492 493 494 495 496 497 498 499 500 501 502 503 504 505 506 507 508 509 510 511 512 513 514 515 517 518 519 520 521 522 524 525 526 527 528 529 530 531 532 533 534 535 536 537 539 542 543 544 545 546 547 549 550 551 552 553 554 555 556 557 558 559 560 561 562 563 564 565 566 567 568 569 571 572 573 575 576 577 578 579 580 581 582 583 584 585 586 587 588 589 590 591 592 594 595 597 598 599 600 601 602 603 604 605 606 607 608 609 610 611 612 613 614 615 616 617 618 619 620 621 622 623 624 625 626 627 628 629 630 631 632 633 634 635 636 637 638 639 641 642 643 645 646 647 648 649 650 651 652 653 654 655 656 657 658 659 660 661 662 663 664 665 666 667 668 669 670 671 672 673 674 675 676 677 678 679 680 681 682 684 685 686 687 688 689 690 691 692 693 694 696 697 698 699 700 701 702 703 704 705 706 707 708 709 710 711 712 713 714 715 716 717 718 719 720 722 723 724 725 726 727 728 729 730 731 732 733 734 735 736 737 738 739 740 741 742 743 744 745 746 747 748 750 751 752 753 754 755 756 757 758 759 760 761 762 763 764 765 766 767 768 769 770 ] 
 Partition 1 (41): [ 36 41 72 82 102 117 155 162 166 169 239 255 257 271 291 320 351 353 375 376 426 441 449 475 479 516 523 538 540 541 548 570 574 593 596 640 644 683 695 721 749 ] 
 Partition 2 (1): [ 262 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,0,0
1,0,0.142857
2,0.142857,0
3,2,6.85714
4,0,0
5,1.57143,5
6,0,0
7,0,0
8,0,0
9,0,0.142857
10,0,0
11,0,0
12,0,0
13,2.71428,1.14286
14,0.285714,0
15,0,0
16,0,0
17,0.285714,1.57143
18,2.28571,1.42857
19,0.142857,4
20,2.28571,10.4286
21,0,0
22,0.142857,0.857142
23,0,0
24,3.57143,3.57143
25,0.142857,0.857142
26,0,0.999999
27,0,0
28,0.142857,4
29,0.714285,0.285714
30,0,0
31,1.28571,0.571428
32,0,0
33,3.14285,9.85713
34,0,0.142857
35,0,0
36,10.5714,0
37,0,0
38,0,0
39,0.142857,4
40,1.28571,8.57142
41,1.57143,0
42,0.142857,0.857142
43,0,0
44,0.142857,0.857142
45,0.999999,0.999999
46,0.428571,0.285714
47,0.142857,0.857142
48,0.857142,0.999999
49,0.285714,0
50,3.57143,3.57143
51,0,0
52,0,0
53,2.28571,10.2857
54,1.28571,8.85713
55,2,16.1428
56,0.714285,0.571428
57,0.142857,0.857142
58,8.14286,19
59,0,0.999999
60,0,0
61,1.42857,0.142857
62,0.142857,0.857142
63,0,0
64,0.428571,0.142857
65,2,18.5714
66,0,0
67,0.142857,0.857142
68,0,1.14286
69,0,0
70,8.14286,18.5714
71,0,0.999999
72,0,0
73,0.142857,3.71428
74,0,0.999999
75,0.999999,0.285714
76,0,0
77,0,0
78,0,0.999999
79,2.57143,12.1428
80,0,0
81,0,0
82,24.8571,0.142857
83,0.714285,1.28571
84,0,0
85,0,0
86,0,0
87,0,0
88,0.142857,8.42856
89,1.85714,15.2857
90,0,0
91,0.142857,0.857142
92,0.142857,0.999999
93,0,0
94,0,0.142857
95,0,0.999999
96,0,1.14286
97,0.571428,7.57142
98,0,0
99,0.142857,5.85714
100,2,9.71428
101,0,0
102,12,0.142857
103,0,0
104,0,0
105,2.14285,2.14285
106,0.714285,0
107,0,0
108,0,1.14286
109,0.142857,0.857142
110,0,0
111,0,0
112,2,29.2857
113,0,0
114,0.142857,0.857142
115,0,0
116,0.142857,0.857142
117,8.57142,0
118,2,9.71428
119,8.14286,37.7143
120,1.28571,2.71428
121,0,0
122,0,0
123,0,0
124,0.142857,0.714285
125,0,1.14286
126,0.142857,0.571428
127,0.142857,0.714285
128,0.142857,0.857142
129,0,0
130,0,0.428571
131,0,0
132,0,0
133,0.285714,0
134,0.142857,5.57142
135,0,0
136,0,0.999999
137,0,0
138,0,0
139,0.714285,1.14286
140,6.42857,19
141,0.142857,0.714285
142,0,0
143,0,0
144,0,0.714285
145,0.285714,0.571428
146,0,0.714285
147,0.142857,0.714285
148,0,0
149,0.714285,0.857142
150,0,0
151,0.142857,0.714285
152,0,0
153,0,0
154,0,0
155,7.42856,0.142857
156,0,0.999999
157,0,0
158,6.85714,16.1428
159,0,0
160,0.142857,0.714285
161,0.571428,6.57142
162,32.2857,0.428571
163,0.142857,0.714285
164,0,0
165,0.142857,3
166,0.714285,0
167,0,0
168,0.571428,0
169,8.85713,0
170,0,0
171,0.999999,0.999999
172,1.14286,3.85714
173,0,0
174,0,0
175,0.142857,5.42857
176,0,0
177,0,0
178,0,2
179,0,0
180,0,0
181,0.142857,3
182,0.428571,0.142857
183,0,0.714285
184,2.85714,2.71428
185,1.85714,10.7143
