Global time spent: 7206.73
I(P) = 452.384
Clustering configuration: 
 Partition 0 (724): [ 0 1 2 3 4 5 6 7 8 9 10 11 12 14 15 16 17 18 19 20 21 22 23 25 26 27 28 29 30 31 32 33 34 35 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 103 104 105 106 107 108 109 110 111 112 113 114 115 116 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 156 157 158 159 160 161 162 163 164 165 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 256 258 259 260 261 262 263 264 265 266 267 268 269 270 272 273 274 275 276 277 278 279 280 281 282 283 284 285 287 288 289 290 291 292 293 294 295 296 297 298 299 301 302 303 304 305 306 307 308 309 310 311 312 313 314 315 316 317 318 319 320 321 322 323 324 326 327 328 329 330 332 333 334 335 336 337 338 339 340 341 342 343 344 345 346 347 348 349 350 352 354 355 356 357 358 359 360 361 362 363 364 366 367 368 370 371 372 373 374 377 378 379 380 381 382 383 384 385 386 387 388 389 390 391 392 393 394 395 396 397 398 399 400 402 403 404 405 406 407 408 409 410 411 412 413 414 415 416 417 418 420 421 422 423 424 425 427 428 429 430 431 432 433 434 435 436 437 438 439 440 442 443 444 445 446 447 448 449 450 451 452 453 454 455 456 457 458 459 460 461 462 463 464 465 466 467 468 469 470 472 473 474 475 476 477 478 480 481 482 484 485 486 487 488 489 490 491 492 493 494 495 496 497 498 499 500 501 502 503 504 505 506 507 508 509 510 511 512 513 514 517 518 520 521 522 523 524 525 526 527 528 529 530 531 532 533 534 535 536 537 539 542 545 546 547 548 549 550 551 552 553 554 555 556 557 558 559 560 561 562 563 564 565 566 567 568 569 571 572 575 576 577 578 579 580 581 582 583 584 585 586 587 588 589 590 591 592 593 594 595 597 598 599 600 601 602 603 604 605 606 607 608 609 610 611 612 613 614 615 616 617 618 619 620 621 622 623 624 625 626 627 628 629 630 631 632 633 634 635 636 637 638 639 641 642 643 644 645 646 647 649 650 652 654 655 656 657 658 659 660 661 662 663 664 665 666 667 668 669 670 671 672 673 674 675 676 677 678 679 680 681 682 683 684 685 686 687 688 689 690 691 692 693 694 695 696 697 698 699 700 702 703 704 705 706 707 708 709 710 712 713 714 715 716 717 718 719 720 722 723 724 725 726 727 728 729 730 731 732 733 734 735 736 737 738 739 740 742 743 744 745 746 747 748 751 752 753 754 755 757 758 759 760 761 762 763 764 765 766 768 769 770 771 772 773 774 775 776 777 778 ] 
 Partition 1 (55): [ 13 24 36 41 72 102 117 139 155 166 239 255 257 271 286 300 325 331 351 353 365 369 375 376 401 419 426 441 471 479 483 515 516 519 538 540 541 543 544 570 573 574 596 640 648 651 653 701 711 721 741 749 750 756 767 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,0,0.615384
1,0,0.076923
2,0.538461,0
3,0,0
4,0,0
5,0.076923,0.307692
6,0.461538,0
7,0,0
8,0,0.230769
9,0,0
10,2.46154,0
11,0,0
12,0,0
13,26.4615,0.307692
14,1.23077,0
15,0.384615,0
16,0,0.307692
17,0.153846,0.230769
18,0.076923,0.076923
19,0.076923,0.153846
20,0,0.384615
21,0,0
22,0,0
23,0,0.076923
24,12.6154,0.076923
25,1.07692,0
26,0,0
27,0,0.153846
28,0,0.384615
29,0,1.92308
30,0.384615,0
31,0,0.076923
32,0.384615,0
33,0,0
34,1.53846,0
35,0,0
36,21.0769,0.153846
37,0,0.153846
38,0,0
39,0,0.461538
40,0,0.153846
41,0.230769,0
42,0.461538,0
43,0,0.230769
44,0,0.076923
45,0,0.153846
46,0,0.307692
47,0.999999,0
48,0,0.153846
49,0.307692,0.384615
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0.230769
55,0,0.307692
56,0.230769,0
57,0.461538,0
58,0,0.153846
59,0.461538,0.076923
60,0.307692,0
61,0.692307,0.230769
62,0.307692,0
63,0,0
64,1.23077,0
65,0.076923,0.076923
66,0,0
67,0.384615,0.153846
68,0,0
69,0,0
70,0,0
71,0,0
72,1.53846,0
73,0,0.384615
74,0,0
75,2.61538,0.692307
76,0,0.846153
77,0,0
78,1.30769,0
79,0,0.153846
80,0.153846,0.076923
81,0.153846,0.076923
82,0,0
83,0,0.230769
84,0.307692,0
85,0.307692,0
86,0,0.076923
87,0.076923,0
88,0.538461,0.230769
89,0,0.153846
90,0,0
91,0.307692,0
92,0,0.153846
93,0,0
94,0.307692,0
95,0,0
96,0.384615,0
97,0.076923,0.461538
98,0.307692,0
99,0,0
100,0,0
101,0.076923,0.230769
102,2,0
103,0,0
104,3.15384,0.076923
105,0.615384,0.461538
106,1.15385,0
107,0.076923,0.076923
108,0,0
109,0.307692,0
110,0,0.384615
111,0,0.230769
112,0,0.615384
113,0,0.846153
114,0.999999,0
115,1.15385,0
116,0,0.076923
117,1.53846,0
118,1.15385,0
119,0,0
120,0.76923,0
121,0,0
122,0.307692,0
123,0,0.076923
124,0.923076,0
125,0,0
126,2.76923,0
127,0.076923,0
128,0,0.153846
129,0,0.230769
130,0.307692,0.384615
131,1.07692,0
132,0.307692,0
133,1.15385,0
134,0,0
135,0.076923,0
136,0.076923,0
137,0.384615,0
138,0.384615,0
139,9.30768,0.076923
140,10.5385,8.46153
141,0.384615,0.846153
142,0,0
143,0,0
144,0,0.153846
145,0.076923,0.076923
146,0,0
147,0.538461,0
148,0,0
149,2.30769,0.230769
150,0,0.076923
151,0.461538,0
152,0.076923,0
153,0.076923,0.230769
154,0,0.153846
155,0.307692,0
156,0.307692,0
157,0,0.76923
158,0.307692,0
159,0.153846,0.230769
160,0.461538,0
161,1.53846,0
162,0,0.076923
163,0,0.692307
164,0.384615,0
165,0,0.461538
166,0.846153,0
167,0,0.076923
168,0,0
169,4.23076,2.69231
170,0,0
171,0.846153,4.38461
172,0.538461,0
173,0.307692,0
174,0,0
175,0,0
176,1.15385,0
177,0,0
178,0,0.923076
179,0,0
180,1.15385,0
181,0,0.076923
182,0.384615,0.692307
183,0,0
184,0.076923,0
185,0.076923,0.76923
186,0.307692,0
187,0,0
188,0,0
189,0,0.230769
