Global time spent: 61.4603
I(P) = 2484.81
Clustering configuration: 
 Partition 0 (731): [ 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 73 74 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 103 104 106 107 108 109 110 111 112 113 114 115 116 118 119 120 121 122 123 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 167 168 169 170 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 241 242 243 244 245 246 247 248 249 250 251 252 253 254 256 258 259 260 261 262 263 264 265 266 267 268 269 270 272 273 274 275 276 277 278 279 281 282 283 284 285 286 287 288 289 290 291 292 293 294 296 297 298 299 301 302 303 304 305 306 307 308 309 310 311 312 313 314 315 316 317 318 319 320 321 322 323 324 325 326 327 328 329 330 332 333 334 335 336 337 338 339 340 341 342 343 344 345 346 347 348 349 350 352 355 356 357 358 359 360 361 362 363 364 365 366 367 368 370 371 372 373 374 377 378 380 381 382 383 384 385 386 387 388 389 390 391 392 393 394 395 396 397 398 399 400 402 403 404 405 406 407 408 409 410 411 412 413 414 415 417 418 420 421 422 423 424 425 427 428 429 430 431 432 433 434 435 436 437 438 439 440 442 443 444 445 446 447 448 450 451 452 453 454 455 456 457 458 459 460 461 462 463 464 465 466 467 468 469 470 471 472 473 474 475 476 477 478 480 481 482 483 484 485 486 487 488 489 490 491 492 493 494 495 496 497 498 499 500 501 502 503 504 505 506 507 508 509 510 511 512 513 514 515 517 518 519 520 521 522 523 524 525 526 527 528 529 530 531 532 533 534 535 536 537 539 542 543 544 545 546 547 548 549 550 551 552 553 554 555 556 557 558 559 560 561 562 563 564 565 566 567 568 569 572 573 575 576 577 578 579 580 581 582 583 584 585 586 587 588 589 590 591 592 593 594 595 597 598 599 600 601 602 603 604 605 606 607 608 609 610 611 612 613 614 615 616 617 618 619 621 622 623 624 625 626 627 628 629 630 631 632 633 634 635 636 637 638 639 641 642 643 644 645 646 647 649 650 652 653 654 655 656 657 658 659 660 661 662 663 664 665 666 667 668 669 670 671 672 673 674 675 676 677 678 679 680 681 682 683 684 685 686 687 688 689 690 691 692 693 694 695 696 697 698 699 700 702 703 704 705 706 707 708 709 710 711 712 713 714 715 716 717 718 719 720 722 723 724 725 726 727 728 729 730 731 732 733 734 735 736 737 738 739 740 741 742 743 744 745 746 747 748 751 752 753 754 755 756 757 758 759 760 761 762 763 764 765 766 767 768 769 770 771 772 773 774 775 776 777 778 779 ] 
 Partition 1 (49): [ 36 41 72 75 102 105 117 124 166 171 239 240 255 257 271 280 295 300 331 351 353 354 369 375 376 379 401 416 419 426 441 449 479 516 538 540 541 570 571 574 596 620 640 648 651 701 721 749 750 ] 

Imbalance analysis (out edges contribution):
Vertex,PositiveSum,NegativeSum
0,1.61905,0.999999
1,0.142857,0.190476
2,0.619047,0
3,0.142857,8.04761
4,0.095238,0
5,0.047619,5.42857
6,0.619047,0.095238
7,0.095238,4.38095
8,0.047619,9.42856
9,0.047619,6.85714
10,0.047619,4.57142
11,0.47619,0.571428
12,0,4.09523
13,13.9048,29
14,1.71428,0.047619
15,0.238095,0.047619
16,0.047619,5.66666
17,0.428571,2.28571
18,0.190476,4.47619
19,0.809523,0.142857
20,0,1.52381
21,0,4
22,0.523809,0.095238
23,0.190476,0.238095
24,13.7619,23.5238
25,0.047619,0.333333
26,0.047619,4.61904
27,8.47618,32.1428
28,0,0.428571
29,5.47619,2.52381
30,0.095238,0.047619
31,0.190476,0.333333
32,0.238095,0.047619
33,0.142857,7.71428
34,0.238095,0.047619
35,0.095238,6.28571
36,5.09523,0
37,0,0.190476
38,0,3.80952
39,0.142857,1.52381
40,0,4.57142
41,11.3333,0
42,0.047619,4.47619
43,0,3.23809
44,0.142857,1.80952
45,0.047619,0.095238
46,0.380952,0.142857
47,0.761904,0.333333
48,0,4.57142
49,0.047619,5.71428
50,0,6.61904
51,0,7.38095
52,0.047619,0.095238
53,0.047619,3.61904
54,0,3.80952
55,0.047619,6.19047
56,0.095238,0.190476
57,0.285714,0.095238
58,0,6.99999
59,1.90476,0.380952
60,0.238095,0.047619
61,0.380952,0.190476
62,0.095238,2.14286
63,0,0.809523
64,2.04762,0.047619
65,0,3.71428
66,0,1.71428
67,0.999999,0.047619
68,0,4.57142
69,0.047619,4.85714
70,0,2.85714
71,0,4.57142
72,0.904761,0.619047
73,0.095238,0.285714
74,0.047619,4.09523
75,4.52381,0.380952
76,8.85714,5.47619
77,0.047619,4.47619
78,0.095238,0.047619
79,0.095238,6.28571
80,9.66666,16.1428
81,10.2381,19.4286
82,0.095238,2.7619
83,0,4.38095
84,0.666666,0.095238
85,0.238095,0.047619
86,0,3.71428
87,0.95238,0.142857
88,1.04762,0.142857
89,0,3.71428
90,0,7.85714
91,0.047619,9.09523
92,1.71428,0.333333
93,0,5.42857
94,0.047619,0.047619
95,0,4.38095
96,0,0
97,0.142857,5.23809
98,0.238095,0
99,0.047619,9.90475
100,0.095238,4.04762
101,0.190476,0
102,14.4286,0
103,0,3.71428
104,0.190476,0
105,38.7619,0.333333
106,0,4.38095
107,0,0.333333
108,0,3.71428
109,0.285714,2
110,0,0.666666
111,0.190476,0
112,0.095238,0.333333
113,9.66667,31.619
114,1.04762,0.047619
115,1.52381,0.047619
116,0.047619,1.33333
117,6.38095,0.095238
118,0.047619,0.761904
119,0,4.95238
120,0.095238,0.190476
121,0,5.7619
122,0.190476,0
123,0.190476,2.04762
124,47.7619,1.42857
125,0.047619,0.666666
126,0,3.66666
127,0.047619,0.095238
128,1.14286,0.190476
129,8.38095,13.9524
130,0.380952,0.571428
131,5.95238,2.95238
132,0.142857,0.047619
133,2.14286,0
134,0.047619,5.90476
135,1.14286,0.047619
136,0.238095,0.095238
137,0.142857,0
138,0.809523,0.047619
139,6.66666,0.761904
140,10.4286,9.95237
141,0.857142,1.23809
142,0,0.380952
143,0,3.47619
144,0,3.47619
145,0,2.04762
146,0.095238,5.99999
147,3.33333,0.095238
148,0,1.52381
149,0.523809,0.047619
150,0,0.904761
151,0.238095,0.190476
